"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"commits_pull=1 commit","reviewer_pull=spf13","0.001","0.00126","1.25251","2.0E-4","1.00007"
"commits_pull=1 commit","reviewer_pull=runcom","0.00502","0.00628","1.21772","9.0E-4","1.00095"
"commits_pull=1 commit","reviewer_pull=ostezer","0.00745","0.00933","1.20612","0.00127","1.00143"
"commits_pull=1 commit","reviewer_pull=thaJeztah","0.0225","0.02818","1.17751","0.00339","1.00419"
"commits_pull=1 commit","reviewer_pull=cpuguy83","0.02479","0.03105","1.15258","0.00328","1.00406"
"commits_pull=1 commit","reviewer_pull=duglin","0.01175","0.01472","1.154","0.00157","1.00181"
"commits_pull=1 commit","reviewer_pull=moxiegirl","0.0225","0.02818","1.13667","0.0027","1.0033"
"commits_pull=1 commit","reviewer_pull=estesp","0.01103","0.01382","1.12144","0.00119","1.00134"
"commits_pull=1 commit","reviewer_pull=jamtur01","0.05072","0.06353","1.11404","0.00519","1.00675"
"commits_pull=1 commit","reviewer_pull=SvenDowideit","0.04198","0.05258","1.10206","0.00389","1.00495"
"commits_pull=1 commit","reviewer_pull=LK4D4","0.05531","0.06927","1.08645","0.0044","1.00573"
"commits_pull=1 commit","reviewer_pull=calavera","0.02364","0.02961","1.08201","0.00179","1.00213"
"commits_pull=1 commit","reviewer_pull=jfrazelle","0.09013","0.11289","1.0748","0.00627","1.00865"
"commits_pull=1 commit","reviewer_pull=dhrp","0.00158","0.00197","1.05982","9.0E-5","0.99993"
"commits_pull=1 commit","reviewer_pull=tianon","0.02192","0.02746","1.05294","0.0011","1.00123"
"commits_pull=1 commit","reviewer_pull=fredlf","0.01547","0.01938","1.04862","7.2E-4","1.00073"
"commits_pull=1 commit","reviewer_pull=mzdaniel","0.00401","0.00503","1.03148","1.2E-4","0.99997"
"commits_pull=1 commit","reviewer_pull=metalivedev","0.03468","0.04343","1.02057","7.0E-4","1.00073"
"commits_pull=1 commit","reviewer_pull=kencochrane","0.00358","0.00449","1.01009","4.0E-5","0.99986"
"commits_pull=1 commit","reviewer_pull=tiborvass","0.03811","0.04774","0.97134","-0.00112","0.99833"
"commits_pull=1 commit","reviewer_pull=icecrime","0.02995","0.03751","0.96954","-9.4E-4","0.99859"
"commits_pull=1 commit","reviewer_pull=crosbymichael","0.11778","0.14752","0.94716","-0.00657","0.99014"
"commits_pull=1 commit","reviewer_pull=erikh","0.00129","0.00162","0.93938","-8.0E-5","0.99972"
"commits_pull=1 commit","reviewer_pull=vieux","0.05674","0.07107","0.88413","-0.00744","0.98978"
"commits_pull=1 commit","reviewer_pull=unclejack","0.02293","0.02872","0.87512","-0.00327","0.9956"
"commits_pull=1 commit","reviewer_pull=creack","0.04069","0.05097","0.81962","-0.00896","0.98799"
"commits_pull=1 commit","reviewer_pull=vbatts","0.00358","0.00449","0.82402","-7.7E-4","0.99886"
"commits_pull=1 commit","reviewer_pull=shykes","0.03109","0.03894","0.78781","-0.00837","0.9889"
"commits_pull=many commits","reviewer_pull=shykes","0.01","0.14","2.91","0.0","1.11"
"commits_pull=many commits","reviewer_pull=creack","0.01","0.14","2.2","0.0","1.08"
"commits_pull=many commits","reviewer_pull=unclejack","0.0","0.06","1.78","0.0","1.02"
"commits_pull=many commits","reviewer_pull=icecrime","0.0","0.07","1.68","0.0","1.02"
"commits_pull=many commits","reviewer_pull=fredlf","0.0","0.03","1.67","0.0","1.01"
"commits_pull=many commits","reviewer_pull=vieux","0.0","0.12","1.45","0.0","1.04"
"commits_pull=many commits","reviewer_pull=tiborvass","0.0","0.05","1.11","0.0","1.0"
"commits_pull=many commits","reviewer_pull=crosbymichael","0.01","0.15","0.99","-0.0","0.99"
"commits_pull=many commits","reviewer_pull=SvenDowideit","0.0","0.02","0.5","-0.0","0.97"
"commits_pull=many commits","reviewer_pull=LK4D4","0.0","0.03","0.48","-0.0","0.96"
"commits_pull=many commits","reviewer_pull=jfrazelle","0.0","0.04","0.42","-0.0","0.93"
"commits_pull=many commits","reviewer_pull=jamtur01","0.0","0.02","0.42","-0.0","0.96"
