"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"Developer_Type=core","reviewer_pull=metalivedev","0.0","0.07","1.71","0.0","1.03"
"Developer_Type=core","reviewer_pull=SvenDowideit","0.0","0.08","1.7","0.0","1.03"
"Developer_Type=core","reviewer_pull=tianon","0.0","0.04","1.7","0.0","1.01"
"Developer_Type=core","reviewer_pull=thaJeztah","0.0","0.04","1.52","0.0","1.01"
"Developer_Type=core","reviewer_pull=shykes","0.0","0.06","1.22","0.0","1.01"
"Developer_Type=core","reviewer_pull=icecrime","0.0","0.04","1.15","0.0","1.0"
"Developer_Type=core","reviewer_pull=crosbymichael","0.01","0.17","1.09","0.0","1.01"
"Developer_Type=core","reviewer_pull=tiborvass","0.0","0.05","1.07","0.0","1.0"
"Developer_Type=core","reviewer_pull=creack","0.0","0.06","0.97","-0.0","0.99"
"Developer_Type=core","reviewer_pull=LK4D4","0.0","0.06","0.95","-0.0","0.99"
"Developer_Type=core","reviewer_pull=jamtur01","0.0","0.04","0.78","-0.0","0.98"
"Developer_Type=core","reviewer_pull=vieux","0.0","0.05","0.65","-0.0","0.97"
"Developer_Type=core","reviewer_pull=jfrazelle","0.0","0.06","0.61","-0.0","0.95"
