"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"files_changed=1 file","reviewer_pull=crosbymichael","0.07","0.13","0.86","-0.01","0.97"
"files_changed=1 file","reviewer_pull=jfrazelle","0.05","0.11","1.01","0.0","1.0"
"files_changed=1 file","reviewer_pull=jamtur01","0.04","0.08","1.47","0.01","1.03"
"files_changed=1 file","reviewer_pull=vieux","0.03","0.07","0.83","-0.01","0.99"
"files_changed=1 file","reviewer_pull=SvenDowideit","0.03","0.06","1.36","0.01","1.02"
"files_changed=1 file","reviewer_pull=metalivedev","0.03","0.06","1.46","0.01","1.02"
"files_changed=1 file","reviewer_pull=creack","0.03","0.06","0.96","-0.0","1.0"
"files_changed=1 file","reviewer_pull=LK4D4","0.03","0.06","0.87","-0.0","0.99"
"files_changed=1 file","reviewer_pull=shykes","0.02","0.04","0.88","-0.0","0.99"
"files_changed=1 file","reviewer_pull=tianon","0.02","0.04","1.45","0.01","1.01"
"files_changed=1 file","reviewer_pull=tiborvass","0.02","0.04","0.73","-0.01","0.99"
"files_changed=1 file","reviewer_pull=moxiegirl","0.02","0.03","1.36","0.0","1.01"
"files_changed=1 file","reviewer_pull=thaJeztah","0.02","0.03","1.27","0.0","1.01"
"files_changed=1 file","reviewer_pull=unclejack","0.01","0.03","0.84","-0.0","0.99"
"files_changed=1 file","reviewer_pull=cpuguy83","0.01","0.03","1.01","0.0","1.0"
"files_changed=1 file","reviewer_pull=icecrime","0.01","0.02","0.6","-0.01","0.98"
"files_changed=1 file","reviewer_pull=calavera","0.01","0.02","0.73","-0.0","0.99"
"files_changed=1 file","reviewer_pull=fredlf","0.01","0.02","0.94","-0.0","1.0"
"files_changed=1 file","reviewer_pull=ostezer","0.01","0.01","1.56","0.0","1.0"
"files_changed=1 file","reviewer_pull=duglin","0.01","0.01","0.93","-0.0","1.0"
"files_changed=1 file","reviewer_pull=estesp","0.01","0.01","0.87","-0.0","1.0"
"files_changed=1 file","reviewer_pull=mzdaniel","0.0","0.01","1.62","0.0","1.0"
"files_changed=1 file","reviewer_pull=runcom","0.0","0.01","1.2","0.0","1.0"
"files_changed=1 file","reviewer_pull=kencochrane","0.0","0.01","1.37","0.0","1.0"
"files_changed=1 file","reviewer_pull=vbatts","0.0","0.0","0.72","-0.0","1.0"
"files_changed=1 file","reviewer_pull=dhrp","0.0","0.0","1.21","0.0","1.0"
"files_changed=many files","reviewer_pull=crosbymichael","0.04","0.18","1.16","0.0","1.03"
"files_changed=many files","reviewer_pull=jfrazelle","0.02","0.1","0.99","-0.0","1.0"
"files_changed=many files","reviewer_pull=vieux","0.02","0.09","1.06","0.0","1.0"
"files_changed=many files","reviewer_pull=LK4D4","0.02","0.08","1.22","0.0","1.01"
"files_changed=many files","reviewer_pull=tiborvass","0.01","0.07","1.44","0.0","1.02"
"files_changed=many files","reviewer_pull=icecrime","0.01","0.07","1.79","0.01","1.03"
"files_changed=many files","reviewer_pull=shykes","0.01","0.06","1.25","0.0","1.01"
"files_changed=many files","reviewer_pull=creack","0.01","0.06","0.92","-0.0","0.99"
"files_changed=many files","reviewer_pull=unclejack","0.01","0.04","1.17","0.0","1.01"
"files_changed=many files","reviewer_pull=calavera","0.01","0.03","1.26","0.0","1.01"
"files_changed=many files","reviewer_pull=SvenDowideit","0.01","0.03","0.6","-0.0","0.98"
"files_changed=many files","reviewer_pull=cpuguy83","0.01","0.03","1.01","0.0","1.0"
"files_changed=many files","reviewer_pull=jamtur01","0.0","0.02","0.4","-0.01","0.96"
"files_changed=many files","reviewer_pull=fredlf","0.0","0.02","1.19","0.0","1.0"
"files_changed=many files","reviewer_pull=thaJeztah","0.0","0.02","0.8","-0.0","0.99"
"files_changed=many files","reviewer_pull=metalivedev","0.0","0.02","0.36","-0.01","0.97"
"files_changed=many files","reviewer_pull=estesp","0.0","0.01","1.07","0.0","1.0"
"files_changed=many files","reviewer_pull=tianon","0.0","0.01","0.4","-0.0","0.98"
"files_changed=many files","reviewer_pull=moxiegirl","0.0","0.01","0.41","-0.0","0.98"
"files_changed=many files","reviewer_pull=duglin","0.0","0.01","0.75","-0.0","1.0"
"files_changed=many files","reviewer_pull=vbatts","0.0","0.01","1.22","0.0","1.0"
"files_changed=many files","reviewer_pull=runcom","0.0","0.01","1.28","0.0","1.0"
