"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"first_Pull=True","reviewer_pull=kencochrane","0.0","0.01","2.55","0.0","1.01"
"first_Pull=True","reviewer_pull=mzdaniel","0.0","0.01","2.45","0.0","1.01"
"first_Pull=True","reviewer_pull=jamtur01","0.02","0.11","1.85","0.01","1.05"
"first_Pull=True","reviewer_pull=moxiegirl","0.01","0.04","1.72","0.0","1.02"
"first_Pull=True","reviewer_pull=SvenDowideit","0.02","0.08","1.71","0.01","1.04"
"first_Pull=True","reviewer_pull=metalivedev","0.02","0.07","1.67","0.01","1.03"
"first_Pull=True","reviewer_pull=tianon","0.01","0.04","1.5","0.0","1.01"
"first_Pull=True","reviewer_pull=ostezer","0.0","0.01","1.38","0.0","1.0"
"first_Pull=True","reviewer_pull=thaJeztah","0.01","0.03","1.23","0.0","1.01"
"first_Pull=True","reviewer_pull=icecrime","0.01","0.04","1.06","0.0","1.0"
"first_Pull=True","reviewer_pull=fredlf","0.0","0.02","0.95","-0.0","1.0"
"first_Pull=True","reviewer_pull=shykes","0.01","0.05","0.94","-0.0","1.0"
"first_Pull=True","reviewer_pull=crosbymichael","0.03","0.13","0.83","-0.01","0.97"
"first_Pull=True","reviewer_pull=jfrazelle","0.02","0.09","0.83","-0.0","0.98"
"first_Pull=True","reviewer_pull=vbatts","0.0","0.0","0.83","-0.0","1.0"
"first_Pull=True","reviewer_pull=creack","0.01","0.05","0.81","-0.0","0.99"
"first_Pull=True","reviewer_pull=unclejack","0.01","0.03","0.77","-0.0","0.99"
"first_Pull=True","reviewer_pull=tiborvass","0.01","0.04","0.73","-0.0","0.99"
"first_Pull=True","reviewer_pull=calavera","0.0","0.02","0.73","-0.0","0.99"
"first_Pull=True","reviewer_pull=vieux","0.01","0.06","0.7","-0.01","0.97"
"first_Pull=True","reviewer_pull=LK4D4","0.01","0.04","0.55","-0.01","0.97"
"first_Pull=True","reviewer_pull=cpuguy83","0.0","0.01","0.53","-0.0","0.99"
"first_Pull=True","reviewer_pull=estesp","0.0","0.01","0.51","-0.0","0.99"
"first_Pull=True","reviewer_pull=duglin","0.0","0.01","0.44","-0.0","0.99"
