"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"requester_pull=rhvgoyal","reviewer_pull=vbatts","0.001","0.4375","80.35033","9.9E-4","1.59129"
"requester_pull=charleswhchan","reviewer_pull=thaJeztah","0.00115","0.44444","18.46296","0.00108","1.59697"
"requester_pull=sa2ajj","reviewer_pull=shykes","0.001","0.875","17.75182","9.5E-4","3.80284"
"requester_pull=moxiegirl","reviewer_pull=thaJeztah","0.00215","0.39474","16.49622","0.00202","1.54545"
"requester_pull=kencochrane","reviewer_pull=shykes","0.00129","0.64286","13.04215","0.00119","2.21832"
"requester_pull=SvenDowideit","reviewer_pull=fredlf","0.00917","0.22857","12.36589","0.00843","1.26647"
"requester_pull=ankushagarwal","reviewer_pull=moxiegirl","0.00115","0.26667","10.75761","0.00104","1.27201"
"requester_pull=cespare","reviewer_pull=creack","0.001","0.63636","10.23314","9.0E-4","2.06319"
"requester_pull=mzdaniel","reviewer_pull=shykes","0.00201","0.5","10.11449","0.00181","1.77439"
"requester_pull=dhrp","reviewer_pull=metalivedev","0.00186","0.41935","9.85413","0.00167","1.56215"
"requester_pull=ostezer","reviewer_pull=SvenDowideit","0.0033","0.46","9.6697","0.00295","1.70077"
"requester_pull=thaJeztah","reviewer_pull=moxiegirl","0.001","0.22581","9.05692","8.9E-4","1.20908"
"requester_pull=fredlf","reviewer_pull=SvenDowideit","0.00258","0.42857","8.98198","0.00229","1.59984"
"requester_pull=dmcgowan","reviewer_pull=icecrime","0.00244","0.34","8.78837","0.00216","1.41369"
"requester_pull=jamtur01","reviewer_pull=metalivedev","0.00358","0.35211","8.27406","0.00315","1.44635"
"requester_pull=albers","reviewer_pull=tianon","0.001","0.2","7.66923","8.7E-4","1.17542"
"requester_pull=SvenDowideit","reviewer_pull=ostezer","0.00229","0.05714","7.38519","0.00198","1.04843"
"requester_pull=creack","reviewer_pull=shykes","0.00731","0.3617","7.31687","0.00631","1.47285"
"requester_pull=coolljt0725","reviewer_pull=cpuguy83","0.00244","0.19318","7.17136","0.0021","1.1893"
"requester_pull=fredlf","reviewer_pull=jamtur01","0.00229","0.38095","6.68007","0.00195","1.46684"
"requester_pull=ostezer","reviewer_pull=jamtur01","0.00272","0.38","6.66337","0.00231","1.47339"
"requester_pull=jamtur01","reviewer_pull=SvenDowideit","0.00301","0.29577","6.2175","0.00253","1.32593"
"requester_pull=jhowardmsft","reviewer_pull=cpuguy83","0.00315","0.16296","6.01756","0.00263","1.15214"
"requester_pull=ashahab-altiscale","reviewer_pull=crosbymichael","0.00172","0.92308","5.92654","0.00143","5.48761"
"requester_pull=timthelion","reviewer_pull=vieux","0.00129","0.47368","5.89277","0.00107","1.58843"
"requester_pull=dhrp","reviewer_pull=shykes","0.00129","0.29032","5.87293","0.00107","1.2812"
"requester_pull=mzdaniel","reviewer_pull=creack","0.00143","0.35714","5.74309","0.00118","1.38204"
"requester_pull=vieux","reviewer_pull=creack","0.0129","0.32847","5.28196","0.01045","1.38898"
"requester_pull=runcom","reviewer_pull=LK4D4","0.00559","0.33621","5.26096","0.00453","1.39214"
"requester_pull=erikh","reviewer_pull=tiborvass","0.00258","0.25714","5.23207","0.00209","1.25584"
"requester_pull=runcom","reviewer_pull=cpuguy83","0.00215","0.12931","4.7749","0.0017","1.10646"
"requester_pull=crosbymichael","reviewer_pull=unclejack","0.0063","0.15493","4.72163","0.00497","1.13976"
"requester_pull=runcom","reviewer_pull=duglin","0.001","0.06034","4.67941","7.9E-4","1.04095"
"requester_pull=jhowardmsft","reviewer_pull=calavera","0.00244","0.12593","4.60124","0.00191","1.10341"
"requester_pull=SvenDowideit","reviewer_pull=metalivedev","0.00745","0.18571","4.36397","0.00574","1.17067"
"requester_pull=jlhawn","reviewer_pull=icecrime","0.00115","0.16667","4.30802","8.8E-4","1.12544"
"requester_pull=shykes","reviewer_pull=vieux","0.00502","0.34314","4.26873","0.00384","1.37942"
"requester_pull=SvenDowideit","reviewer_pull=jamtur01","0.0096","0.23929","4.19592","0.00731","1.23379"
"requester_pull=jpetazzo","reviewer_pull=creack","0.001","0.25926","4.16906","7.6E-4","1.20576"
"requester_pull=vmarmol","reviewer_pull=crosbymichael","0.00129","0.64286","4.13122","9.8E-4","1.97024"
"requester_pull=calavera","reviewer_pull=icecrime","0.00158","0.15942","4.12072","0.00119","1.12425"
"requester_pull=crosbymichael","reviewer_pull=creack","0.01017","0.25","4.02016","0.00764","1.24457"
"requester_pull=jpoimboe","reviewer_pull=vieux","0.00115","0.32","3.98089","8.6E-4","1.27724"
"requester_pull=vieux","reviewer_pull=unclejack","0.00502","0.12774","3.90999","0.00373","1.10437"
"requester_pull=jfrazelle","reviewer_pull=calavera","0.00215","0.10563","3.83968","0.00159","1.07885"
"requester_pull=jlhawn","reviewer_pull=tiborvass","0.00129","0.1875","3.81505","9.5E-4","1.14102"
"requester_pull=pnasrat","reviewer_pull=crosbymichael","0.00186","0.59091","3.79389","0.00137","1.85734"
"requester_pull=alexlarsson","reviewer_pull=shykes","0.00258","0.18557","3.75383","0.00189","1.15256"
"requester_pull=brahmaroutu","reviewer_pull=calavera","0.001","0.10294","3.7418","7.3E-4","1.0666"
"requester_pull=vbatts","reviewer_pull=unclejack","0.00158","0.11702","3.58198","0.00114","1.08249"
"requester_pull=albers","reviewer_pull=jfrazelle","0.00186","0.37143","3.53643","0.00134","1.36191"
"requester_pull=ahmetalpbalkan","reviewer_pull=jfrazelle","0.00444","0.36905","3.51376","0.00318","1.39218"
"requester_pull=jhowardmsft","reviewer_pull=icecrime","0.00258","0.13333","3.44642","0.00183","1.09981"
"requester_pull=shin-","reviewer_pull=creack","0.001","0.21212","3.41105","7.1E-4","1.14622"
"requester_pull=vishh","reviewer_pull=crosbymichael","0.00172","0.52174","3.35287","0.00121","1.61841"
