"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"commits_pull=1 commit","reviewer_pull=Voyager1","0.0","0.0","0.69","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=amet","0.0","0.0","0.75","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=da-anda","0.0","0.0","0.79","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=Paxxi","0.0","0.0","0.85","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=fritsch","0.01","0.01","0.88","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=jmarshallnz","0.13","0.18","0.89","-0.02","0.97"
"commits_pull=1 commit","reviewer_pull=koying","0.0","0.0","0.89","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=CrystalP","0.0","0.0","0.92","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=xhaggi","0.01","0.01","0.95","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=FernetMenta","0.01","0.02","0.96","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=opdenkamp","0.03","0.04","0.97","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=DDDamian","0.0","0.0","0.97","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=MartijnKaijser","0.18","0.24","0.99","-0.0","1.0"
"commits_pull=1 commit","reviewer_pull=jenkins4kodi","0.05","0.07","1.01","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=wsoltys","0.01","0.01","1.01","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=t-nelson","0.03","0.04","1.03","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=davilla","0.03","0.04","1.03","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=elupus","0.02","0.03","1.04","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=ronie","0.01","0.02","1.04","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=JezzX","0.0","0.0","1.04","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=Memphiz","0.03","0.04","1.08","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=theuni","0.0","0.0","1.09","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=topfs2","0.02","0.03","1.1","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=Montellese","0.03","0.04","1.11","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=alanwww1","0.01","0.02","1.11","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=ulion","0.0","0.0","1.11","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=huceke","0.02","0.03","1.13","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=ksooo","0.0","0.01","1.15","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=jimfcarroll","0.0","0.0","1.15","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=mkortstiege","0.04","0.05","1.17","0.01","1.01"
"commits_pull=1 commit","reviewer_pull=wsnipex","0.01","0.01","1.17","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=popcornmix","0.0","0.0","1.18","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=Jalle19","0.0","0.01","1.19","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=ace20022","0.0","0.01","1.21","0.0","1.0"
"commits_pull=1 commit","reviewer_pull=arnova","0.0","0.0","1.38","0.0","1.0"
"commits_pull=many commits","reviewer_pull=topfs2","0.0","0.01","0.47","-0.0","0.98"
"commits_pull=many commits","reviewer_pull=t-nelson","0.0","0.02","0.61","-0.0","0.98"
"commits_pull=many commits","reviewer_pull=Memphiz","0.0","0.02","0.65","-0.0","0.98"
"commits_pull=many commits","reviewer_pull=Montellese","0.0","0.03","0.68","-0.0","0.98"
"commits_pull=many commits","reviewer_pull=elupus","0.0","0.02","0.71","-0.0","0.99"
"commits_pull=many commits","reviewer_pull=opdenkamp","0.0","0.03","0.78","-0.0","0.99"
"commits_pull=many commits","reviewer_pull=huceke","0.0","0.03","0.97","-0.0","1.0"
"commits_pull=many commits","reviewer_pull=jenkins4kodi","0.01","0.07","1.0","-0.0","1.0"
"commits_pull=many commits","reviewer_pull=FernetMenta","0.0","0.02","1.01","0.0","1.0"
"commits_pull=many commits","reviewer_pull=fritsch","0.0","0.02","1.15","0.0","1.0"
"commits_pull=many commits","reviewer_pull=MartijnKaijser","0.02","0.29","1.16","0.0","1.05"
"commits_pull=many commits","reviewer_pull=jmarshallnz","0.02","0.27","1.32","0.0","1.09"
"commits_pull=many commits","reviewer_pull=davilla","0.0","0.05","1.43","0.0","1.01"
"commits_pull=many commits","reviewer_pull=xhaggi","0.0","0.01","1.6","0.0","1.0"
