"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"first_Pull=True","reviewer_pull=MartijnKaijser","0.03","0.19","0.79","-0.01","0.93"
"first_Pull=True","reviewer_pull=jmarshallnz","0.03","0.19","0.91","-0.0","0.98"
"first_Pull=True","reviewer_pull=Montellese","0.01","0.06","1.54","0.0","1.02"
"first_Pull=True","reviewer_pull=mkortstiege","0.01","0.06","1.35","0.0","1.01"
"first_Pull=True","reviewer_pull=Memphiz","0.01","0.05","1.57","0.0","1.02"
"first_Pull=True","reviewer_pull=opdenkamp","0.01","0.05","1.36","0.0","1.01"
"first_Pull=True","reviewer_pull=elupus","0.01","0.05","1.47","0.0","1.01"
"first_Pull=True","reviewer_pull=davilla","0.01","0.04","1.13","0.0","1.0"
"first_Pull=True","reviewer_pull=alanwww1","0.0","0.02","1.71","0.0","1.01"
"first_Pull=True","reviewer_pull=FernetMenta","0.0","0.02","1.27","0.0","1.0"
"first_Pull=True","reviewer_pull=ronie","0.0","0.02","1.15","0.0","1.0"
"first_Pull=True","reviewer_pull=t-nelson","0.0","0.02","0.63","-0.0","0.98"
"first_Pull=True","reviewer_pull=jenkins4kodi","0.0","0.02","0.26","-0.01","0.94"
"first_Pull=True","reviewer_pull=wsnipex","0.0","0.02","1.78","0.0","1.01"
"first_Pull=True","reviewer_pull=topfs2","0.0","0.01","0.46","-0.0","0.98"
"first_Pull=True","reviewer_pull=koying","0.0","0.01","3.37","0.0","1.01"
"first_Pull=True","reviewer_pull=fritsch","0.0","0.01","0.88","-0.0","1.0"
"first_Pull=True","reviewer_pull=xhaggi","0.0","0.01","1.54","0.0","1.0"
"first_Pull=True","reviewer_pull=jimfcarroll","0.0","0.01","3.93","0.0","1.01"
"first_Pull=True","reviewer_pull=wsoltys","0.0","0.01","0.9","-0.0","1.0"
"first_Pull=True","reviewer_pull=amet","0.0","0.01","3.06","0.0","1.0"
"first_Pull=True","reviewer_pull=huceke","0.0","0.01","0.29","-0.0","0.98"
"first_Pull=True","reviewer_pull=Voyager1","0.0","0.01","2.4","0.0","1.0"
"first_Pull=True","reviewer_pull=theuni","0.0","0.01","1.92","0.0","1.0"
"first_Pull=False","reviewer_pull=MartijnKaijser","0.22","0.25","1.04","0.01","1.01"
"first_Pull=False","reviewer_pull=jmarshallnz","0.18","0.21","1.02","0.0","1.0"
"first_Pull=False","reviewer_pull=jenkins4kodi","0.07","0.08","1.13","0.01","1.01"
"first_Pull=False","reviewer_pull=mkortstiege","0.03","0.04","0.95","-0.0","1.0"
"first_Pull=False","reviewer_pull=t-nelson","0.03","0.04","1.07","0.0","1.0"
"first_Pull=False","reviewer_pull=opdenkamp","0.03","0.04","0.94","-0.0","1.0"
"first_Pull=False","reviewer_pull=davilla","0.03","0.04","0.98","-0.0","1.0"
"first_Pull=False","reviewer_pull=Montellese","0.03","0.03","0.91","-0.0","1.0"
"first_Pull=False","reviewer_pull=topfs2","0.03","0.03","1.09","0.0","1.0"
"first_Pull=False","reviewer_pull=huceke","0.03","0.03","1.12","0.0","1.0"
"first_Pull=False","reviewer_pull=Memphiz","0.03","0.03","0.9","-0.0","1.0"
"first_Pull=False","reviewer_pull=elupus","0.02","0.03","0.92","-0.0","1.0"
"first_Pull=False","reviewer_pull=ronie","0.02","0.02","0.97","-0.0","1.0"
"first_Pull=False","reviewer_pull=FernetMenta","0.01","0.02","0.95","-0.0","1.0"
"first_Pull=False","reviewer_pull=fritsch","0.01","0.02","1.02","0.0","1.0"
"first_Pull=False","reviewer_pull=alanwww1","0.01","0.01","0.88","-0.0","1.0"
"first_Pull=False","reviewer_pull=wsoltys","0.01","0.01","1.02","0.0","1.0"
"first_Pull=False","reviewer_pull=xhaggi","0.01","0.01","0.91","-0.0","1.0"
"first_Pull=False","reviewer_pull=wsnipex","0.01","0.01","0.86","-0.0","1.0"
"first_Pull=False","reviewer_pull=Jalle19","0.01","0.01","1.17","0.0","1.0"
"first_Pull=False","reviewer_pull=ace20022","0.0","0.01","1.17","0.0","1.0"
"first_Pull=False","reviewer_pull=ksooo","0.0","0.01","1.05","0.0","1.0"
"first_Pull=False","reviewer_pull=Paxxi","0.0","0.0","0.99","-0.0","1.0"
"first_Pull=False","reviewer_pull=theuni","0.0","0.0","0.84","-0.0","1.0"
"first_Pull=False","reviewer_pull=Voyager1","0.0","0.0","0.76","-0.0","1.0"
"first_Pull=False","reviewer_pull=koying","0.0","0.0","0.66","-0.0","1.0"
"first_Pull=False","reviewer_pull=arnova","0.0","0.0","1.17","0.0","1.0"
"first_Pull=False","reviewer_pull=DDDamian","0.0","0.0","0.82","-0.0","1.0"
"first_Pull=False","reviewer_pull=amet","0.0","0.0","0.7","-0.0","1.0"
"first_Pull=False","reviewer_pull=da-anda","0.0","0.0","1.01","0.0","1.0"
"first_Pull=False","reviewer_pull=JezzX","0.0","0.0","0.73","-0.0","1.0"
"first_Pull=False","reviewer_pull=jimfcarroll","0.0","0.0","0.49","-0.0","1.0"
"first_Pull=False","reviewer_pull=popcornmix","0.0","0.0","0.67","-0.0","1.0"
