"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"requester_pull=metaron-uk","reviewer_pull=ksooo","0.00157","0.85714","172.15038","0.00156","3.48257"
"requester_pull=jmbreuer","reviewer_pull=Voyager1","0.00105","0.5","136.28571","0.00104","1.59413"
"requester_pull=nuka1195","reviewer_pull=amet","0.00157","0.3","114.48","0.00156","1.32984"
"requester_pull=smallint","reviewer_pull=fritsch","0.00105","1.0","62.55738","0.00103","3.93606"
"requester_pull=CutSickAss","reviewer_pull=alanwww1","0.00341","0.86667","60.13091","0.00335","4.92794"
"requester_pull=janbar","reviewer_pull=ksooo","0.00131","0.21739","43.66133","0.00128","1.2045"
"requester_pull=queeup","reviewer_pull=alanwww1","0.00131","0.5","35.33333","0.00127","1.64308"
"requester_pull=asylumfunk","reviewer_pull=Montellese","0.00105","1.0","26.5","0.00101","3.84906"
"requester_pull=tobbi","reviewer_pull=ace20022","0.00157","0.11321","25.41176","0.00151","1.09925"
"requester_pull=jingai","reviewer_pull=Memphiz","0.00131","0.83333","24.65116","0.00126","2.89858"
"requester_pull=nemphys","reviewer_pull=opdenkamp","0.0021","0.88889","23.55556","0.00201","4.33019"
"requester_pull=asmaloney","reviewer_pull=elupus","0.00105","0.66667","21.37815","0.001","1.93763"
"requester_pull=ksooo","reviewer_pull=xhaggi","0.00157","0.19355","21.1023","0.0015","1.18137"
"requester_pull=fetzerch","reviewer_pull=opdenkamp","0.00472","0.75","19.875","0.00448","3.29919"
"requester_pull=phil65","reviewer_pull=ronie","0.00367","0.38889","19.52632","0.00348","1.53404"
"requester_pull=aballier","reviewer_pull=elupus","0.00183","0.58333","18.70588","0.00174","1.93763"
"requester_pull=dsoms","reviewer_pull=mkortstiege","0.00105","0.8","18.50182","9.9E-4","2.3919"
"requester_pull=CrHasher","reviewer_pull=elupus","0.00105","0.57143","18.32413","9.9E-4","1.69543"
"requester_pull=popcornmix","reviewer_pull=huceke","0.02752","0.5122","16.99597","0.0259","1.96854"
"requester_pull=mad-max","reviewer_pull=alanwww1","0.00131","0.2381","16.8254","0.00123","1.21781"
"requester_pull=davilla","reviewer_pull=t-nelson","0.00183","0.53846","14.88963","0.00171","1.78998"
"requester_pull=BigNoid","reviewer_pull=ronie","0.00131","0.27778","13.94737","0.00122","1.26011"
"requester_pull=ghost","reviewer_pull=Montellese","0.00708","0.51923","13.85584","0.00656","1.92505"
"requester_pull=Tolriq","reviewer_pull=Montellese","0.0021","0.5","13.25","0.00194","1.71069"
"requester_pull=mikrohard","reviewer_pull=opdenkamp","0.00131","0.5","13.25","0.00121","1.60377"
"requester_pull=tobbi","reviewer_pull=Jalle19","0.00105","0.07547","13.09091","9.7E-4","1.05389"
"requester_pull=opdenkamp","reviewer_pull=davilla","0.00288","0.45833","12.76642","0.00266","1.65274"
