"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"reviewer_follow_requester=true","reviewer_pull=fritsch","0.01","0.42","26.0","0.01","1.65"
"reviewer_follow_requester=true","reviewer_pull=opdenkamp","0.0","0.23","6.19","0.0","1.23"
"reviewer_follow_requester=true","reviewer_pull=topfs2","0.0","0.13","4.2","0.0","1.1"
"reviewer_follow_requester=true","reviewer_pull=Memphiz","0.0","0.13","3.84","0.0","1.09"
"reviewer_follow_requester=false","reviewer_pull=MartijnKaijser","0.24","0.25","1.02","0.0","1.01"
"reviewer_follow_requester=false","reviewer_pull=jmarshallnz","0.2","0.21","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=jenkins4kodi","0.07","0.08","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=mkortstiege","0.04","0.04","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=Montellese","0.04","0.04","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=t-nelson","0.04","0.04","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=davilla","0.04","0.04","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=opdenkamp","0.03","0.03","0.89","-0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=Memphiz","0.03","0.03","0.94","-0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=elupus","0.03","0.03","1.01","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=huceke","0.03","0.03","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=topfs2","0.03","0.03","0.94","-0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=ronie","0.02","0.02","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=FernetMenta","0.02","0.02","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=alanwww1","0.01","0.01","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=wsoltys","0.01","0.01","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=wsnipex","0.01","0.01","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=xhaggi","0.01","0.01","0.94","-0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=fritsch","0.01","0.01","0.47","-0.01","0.99"
"reviewer_follow_requester=false","reviewer_pull=Jalle19","0.01","0.01","1.07","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=ksooo","0.0","0.01","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=koying","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=ace20022","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=theuni","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=Voyager1","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=Paxxi","0.0","0.0","1.11","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=jimfcarroll","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=amet","0.0","0.0","1.13","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=DDDamian","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=JezzX","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=arnova","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=da-anda","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=popcornmix","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=CrystalP","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=ulion","0.0","0.0","1.02","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=hudokkow","0.0","0.0","1.02","0.0","1.0"
