"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"commits_pull=1 commit","reviewer_pull=rafaelfranca","0.25435","0.29375","1.00615","0.00156","1.0024"
"commits_pull=1 commit","reviewer_pull=josevalim","0.09072","0.10478","0.90487","-0.00954","0.98759"
"commits_pull=1 commit","reviewer_pull=senny","0.07205","0.08321","1.09897","0.00649","1.00807"
"commits_pull=1 commit","reviewer_pull=carlosantoniodasilva","0.06131","0.0708","1.0328","0.00195","1.00231"
"commits_pull=1 commit","reviewer_pull=spastorino","0.04579","0.05288","1.01669","7.5E-4","1.00081"
"commits_pull=1 commit","reviewer_pull=tenderlove","0.04195","0.04845","0.88783","-0.0053","0.99346"
"commits_pull=1 commit","reviewer_pull=fxn","0.03197","0.03693","0.99105","-2.9E-4","0.99955"
"commits_pull=1 commit","reviewer_pull=guilleiguaran","0.02677","0.03092","1.02152","5.6E-4","1.00057"
"commits_pull=1 commit","reviewer_pull=jeremy","0.02063","0.02383","0.89579","-0.0024","0.99706"
"commits_pull=1 commit","reviewer_pull=zzak","0.0197","0.02275","1.09337","0.00168","1.00189"
"commits_pull=1 commit","reviewer_pull=sgrif","0.01876","0.02166","1.04559","8.2E-4","1.00086"
"commits_pull=1 commit","reviewer_pull=vijaydev","0.01859","0.02147","1.05785","0.00102","1.0011"
"commits_pull=1 commit","reviewer_pull=matthewd","0.01825","0.02107","1.03844","6.8E-4","1.0007"
"commits_pull=1 commit","reviewer_pull=jonleighton","0.01543","0.01782","0.89332","-0.00184","0.99773"
"commits_pull=1 commit","reviewer_pull=pixeltrix","0.01501","0.01733","0.98671","-2.0E-4","0.99966"
"commits_pull=1 commit","reviewer_pull=steveklabnik","0.01501","0.01733","0.99638","-5.0E-5","0.99984"
"commits_pull=1 commit","reviewer_pull=chancancode","0.01143","0.0132","1.01813","2.0E-4","1.00014"
"commits_pull=1 commit","reviewer_pull=kaspth","0.01134","0.0131","1.11305","0.00115","1.00125"
"commits_pull=1 commit","reviewer_pull=seuros","0.01091","0.0126","1.13713","0.00132","1.00144"
"commits_pull=1 commit","reviewer_pull=arthurnn","0.01066","0.01231","1.09365","9.1E-4","1.00097"
"commits_pull=1 commit","reviewer_pull=drogus","0.01015","0.01172","1.06537","6.2E-4","1.00063"
"commits_pull=1 commit","reviewer_pull=robin850","0.00887","0.01024","1.0919","7.5E-4","1.00077"
"commits_pull=1 commit","reviewer_pull=arunagw","0.0081","0.00935","0.99741","-2.0E-5","0.99988"
"commits_pull=1 commit","reviewer_pull=dhh","0.00674","0.00778","0.85268","-0.00116","0.99855"
"commits_pull=1 commit","reviewer_pull=schneems","0.00529","0.00611","1.13657","6.4E-4","1.00064"
"commits_pull=1 commit","reviewer_pull=eileencodes","0.00341","0.00394","1.0999","3.1E-4","1.00026"
"commits_pull=1 commit","reviewer_pull=claudiob","0.00273","0.00315","1.05591","1.4E-4","1.00007"
"commits_pull=1 commit","reviewer_pull=laurocaetano","0.00213","0.00246","1.11048","2.1E-4","1.00015"
"commits_pull=1 commit","reviewer_pull=NZKoz","0.00205","0.00236","0.98991","-2.0E-5","0.99988"
"commits_pull=1 commit","reviewer_pull=wycats","0.00145","0.00167","0.98166","-3.0E-5","0.99987"
"commits_pull=1 commit","reviewer_pull=dmathieu","0.00128","0.00148","1.1549","1.7E-4","1.0001"
"commits_pull=1 commit","reviewer_pull=sikachu","0.00102","0.00118","0.98991","-1.0E-5","0.99989"
"commits_pull=many commits","reviewer_pull=rafaelfranca","0.00631","0.34259","1.17346","9.3E-4","1.0695"
"commits_pull=many commits","reviewer_pull=josevalim","0.00239","0.12963","1.11951","2.5E-4","1.01052"
"commits_pull=many commits","reviewer_pull=tenderlove","0.00136","0.07407","1.35741","3.6E-4","1.01598"
"commits_pull=many commits","reviewer_pull=carlosantoniodasilva","0.00102","0.05556","0.80939","-2.4E-4","0.98134"
