"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"developer_type=core","reviewer_pull=rafaelfranca","0.01492","0.30756","1.05345","7.6E-4","1.01995"
"developer_type=core","reviewer_pull=josevalim","0.00452","0.09315","0.80502","-0.00109","0.97324"
"developer_type=core","reviewer_pull=tenderlove","0.00435","0.08963","1.64249","0.0017","1.03651"
"developer_type=core","reviewer_pull=senny","0.00315","0.06503","0.85978","-5.1E-4","0.9868"
"developer_type=core","reviewer_pull=carlosantoniodasilva","0.00307","0.06327","0.92291","-2.6E-4","0.9925"
"developer_type=core","reviewer_pull=spastorino","0.00239","0.04921","0.94611","-1.4E-4","0.99521"
"developer_type=core","reviewer_pull=fxn","0.00205","0.04218","1.1294","2.3E-4","1.0032"
"developer_type=core","reviewer_pull=jeremy","0.00128","0.02636","0.99094","-1.0E-5","0.99795"
"developer_type=core","reviewer_pull=jonleighton","0.00128","0.02636","1.32693","3.2E-4","1.00486"
"developer_type=core","reviewer_pull=sgrif","0.00128","0.02636","1.27232","2.7E-4","1.00398"
"developer_type=core","reviewer_pull=matthewd","0.00119","0.0246","1.21245","2.1E-4","1.00261"
"developer_type=core","reviewer_pull=chancancode","0.00102","0.02109","1.62723","3.9E-4","1.0065"
"developer_type=core","reviewer_pull=zzak","0.00102","0.02109","1.01369","1.0E-5","0.9985"
"developer_type=external","reviewer_pull=rafaelfranca","0.27703","0.29123","0.99754","-6.8E-4","0.99886"
"developer_type=external","reviewer_pull=josevalim","0.11127","0.11698","1.01024","0.00113","1.00124"
"developer_type=external","reviewer_pull=senny","0.07248","0.07619","1.00742","5.3E-4","1.00051"
"developer_type=external","reviewer_pull=carlosantoniodasilva","0.06557","0.06893","1.00426","2.8E-4","1.00022"
"developer_type=external","reviewer_pull=tenderlove","0.05022","0.0528","0.9675","-0.00169","0.99803"
"developer_type=external","reviewer_pull=spastorino","0.04971","0.05226","1.0031","1.5E-4","1.00008"
"developer_type=external","reviewer_pull=fxn","0.0353","0.03711","0.99367","-2.2E-4","0.99966"
"developer_type=external","reviewer_pull=guilleiguaran","0.02942","0.03093","1.02166","6.2E-4","1.00058"
"developer_type=external","reviewer_pull=jeremy","0.02532","0.02662","1.00073","2.0E-5","0.99993"
"developer_type=external","reviewer_pull=zzak","0.01978","0.0208","0.99957","-1.0E-5","0.9999"
"developer_type=external","reviewer_pull=vijaydev","0.01953","0.02053","1.01152","2.2E-4","1.00015"
"developer_type=external","reviewer_pull=sgrif","0.01927","0.02026","0.97773","-4.4E-4","0.99944"
"developer_type=external","reviewer_pull=matthewd","0.0191","0.02008","0.98943","-2.0E-4","0.99969"
"developer_type=external","reviewer_pull=jonleighton","0.01867","0.01963","0.98811","-2.2E-4","0.99967"
"developer_type=external","reviewer_pull=pixeltrix","0.0168","0.01766","1.00534","9.0E-5","1.0"
"developer_type=external","reviewer_pull=steveklabnik","0.01654","0.01739","1.00466","8.0E-5","0.99999"
"developer_type=external","reviewer_pull=chancancode","0.01194","0.01255","0.96828","-3.9E-4","0.99949"
"developer_type=external","reviewer_pull=kaspth","0.01143","0.01201","1.0208","2.3E-4","1.00016"
"developer_type=external","reviewer_pull=arthurnn","0.01091","0.01147","1.01942","2.1E-4","1.00013"
"developer_type=external","reviewer_pull=seuros","0.01083","0.01138","1.02701","2.8E-4","1.00021"
"developer_type=external","reviewer_pull=drogus","0.01074","0.01129","1.02682","2.8E-4","1.00021"
"developer_type=external","reviewer_pull=arunagw","0.00912","0.00959","1.01339","1.2E-4","1.00004"
"developer_type=external","reviewer_pull=robin850","0.00912","0.00959","1.0226","2.0E-4","1.00012"
"developer_type=external","reviewer_pull=dhh","0.00827","0.00869","0.95302","-4.1E-4","0.99948"
"developer_type=external","reviewer_pull=schneems","0.00512","0.00538","1.00121","1.0E-5","0.99992"
"developer_type=external","reviewer_pull=eileencodes","0.00358","0.00376","1.02682","9.0E-5","1.00001"
"developer_type=external","reviewer_pull=claudiob","0.0029","0.00305","1.02124","6.0E-5","0.99997"
"developer_type=external","reviewer_pull=NZKoz","0.0023","0.00242","1.01373","3.0E-5","0.99994"
"developer_type=external","reviewer_pull=laurocaetano","0.00205","0.00215","0.97041","-6.0E-5","0.99984"
"developer_type=external","reviewer_pull=wycats","0.00162","0.0017","0.99871","-0.0","0.99991"
"developer_type=external","reviewer_pull=dmathieu","0.00128","0.00134","1.05127","6.0E-5","0.99998"
"developer_type=external","reviewer_pull=sikachu","0.00119","0.00125","1.05127","6.0E-5","0.99997"
