"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"files_changed=1 file","reviewer_pull=rafaelfranca","0.12457","0.2565","0.87856","-0.01722","0.95209"
"files_changed=1 file","reviewer_pull=senny","0.04621","0.09515","1.25814","0.00948","1.02138"
"files_changed=1 file","reviewer_pull=josevalim","0.04425","0.09112","0.7869","-0.01198","0.97266"
"files_changed=1 file","reviewer_pull=carlosantoniodasilva","0.03632","0.07479","1.09096","0.00303","1.00655"
"files_changed=1 file","reviewer_pull=spastorino","0.02891","0.05952","1.14238","0.0036","1.0077"
"files_changed=1 file","reviewer_pull=fxn","0.02294","0.04723","1.26743","0.00484","1.01027"
"files_changed=1 file","reviewer_pull=tenderlove","0.01953","0.0402","0.73673","-0.00698","0.98485"
"files_changed=1 file","reviewer_pull=zzak","0.01842","0.03792","1.82271","0.00831","1.01761"
"files_changed=1 file","reviewer_pull=guilleiguaran","0.01697","0.03494","1.15419","0.00227","1.00465"
"files_changed=1 file","reviewer_pull=vijaydev","0.01509","0.03107","1.53126","0.00524","1.01094"
"files_changed=1 file","reviewer_pull=matthewd","0.00981","0.02019","0.99489","-5.0E-5","0.99972"
"files_changed=1 file","reviewer_pull=seuros","0.00972","0.02001","1.80557","0.00434","1.00893"
"files_changed=1 file","reviewer_pull=arthurnn","0.00878","0.01808","1.60664","0.00332","1.00677"
"files_changed=1 file","reviewer_pull=jeremy","0.00827","0.01703","0.64013","-0.00465","0.99008"
"files_changed=1 file","reviewer_pull=steveklabnik","0.00767","0.0158","0.90838","-7.7E-4","0.9982"
"files_changed=1 file","reviewer_pull=sgrif","0.00725","0.01492","0.72022","-0.00282","0.99394"
"files_changed=1 file","reviewer_pull=kaspth","0.00725","0.01492","1.26822","0.00153","1.00303"
"files_changed=1 file","reviewer_pull=robin850","0.00716","0.01475","1.57232","0.00261","1.00527"
"files_changed=1 file","reviewer_pull=arunagw","0.00674","0.01387","1.47873","0.00218","1.00437"
"files_changed=1 file","reviewer_pull=chancancode","0.00622","0.01282","0.99541","-3.0E-5","0.99976"
"files_changed=1 file","reviewer_pull=jonleighton","0.0058","0.01194","0.60091","-0.00385","0.9918"
"files_changed=1 file","reviewer_pull=pixeltrix","0.00503","0.01036","0.58971","-0.0035","0.99254"
"files_changed=1 file","reviewer_pull=drogus","0.0046","0.00948","0.8619","-7.4E-4","0.99829"
"files_changed=1 file","reviewer_pull=schneems","0.00435","0.00895","1.6668","0.00174","1.00344"
"files_changed=1 file","reviewer_pull=eileencodes","0.00281","0.00579","1.58015","0.00103","1.00196"
"files_changed=1 file","reviewer_pull=claudiob","0.00273","0.00562","1.93787","0.00132","1.00256"
"files_changed=1 file","reviewer_pull=dhh","0.00239","0.00492","0.5388","-0.00204","0.9956"
"files_changed=1 file","reviewer_pull=NZKoz","0.00102","0.00211","0.88242","-1.4E-4","0.99954"
"files_changed=1 file","reviewer_pull=laurocaetano","0.00102","0.00211","0.91511","-9.0E-5","0.99963"
"files_changed=many files","reviewer_pull=rafaelfranca","0.03922","0.35195","1.20551","0.00669","1.0913"
"files_changed=many files","reviewer_pull=josevalim","0.01228","0.11018","0.95151","-6.3E-4","0.99284"
"files_changed=many files","reviewer_pull=senny","0.00648","0.05815","0.76798","-0.00196","0.98055"
"files_changed=many files","reviewer_pull=tenderlove","0.00605","0.05432","0.99547","-3.0E-5","0.99893"
"files_changed=many files","reviewer_pull=carlosantoniodasilva","0.00597","0.05356","0.78028","-0.00168","0.98327"
"files_changed=many files","reviewer_pull=jeremy","0.00486","0.04361","1.63934","0.0019","1.01697"
"files_changed=many files","reviewer_pull=fxn","0.00486","0.04361","1.17042","7.1E-4","1.00583"
"files_changed=many files","reviewer_pull=sgrif","0.00375","0.03366","1.62478","0.00144","1.01259"
"files_changed=many files","reviewer_pull=spastorino","0.0035","0.03137","0.60213","-0.00231","0.97783"
"files_changed=many files","reviewer_pull=jonleighton","0.00333","0.02984","1.50196","0.00111","1.00948"
"files_changed=many files","reviewer_pull=guilleiguaran","0.00315","0.02831","0.93524","-2.2E-4","0.9972"
"files_changed=many files","reviewer_pull=dhh","0.00247","0.02219","2.43199","0.00146","1.01257"
"files_changed=many files","reviewer_pull=pixeltrix","0.0023","0.02066","1.1761","3.4E-4","1.00238"
"files_changed=many files","reviewer_pull=matthewd","0.00222","0.01989","0.98027","-4.0E-5","0.99881"
"files_changed=many files","reviewer_pull=steveklabnik","0.00196","0.0176","1.01169","2.0E-5","0.99943"
"files_changed=many files","reviewer_pull=vijaydev","0.00179","0.01607","0.79175","-4.7E-4","0.99493"
"files_changed=many files","reviewer_pull=kaspth","0.00153","0.01377","1.17042","2.2E-4","1.00126"
"files_changed=many files","reviewer_pull=chancancode","0.00136","0.01224","0.9508","-7.0E-5","0.99859"
