"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"first_Pull=True","reviewer_pull=rafaelfranca","0.08348","0.27884","0.95509","-0.00393","0.98143"
"first_Pull=True","reviewer_pull=josevalim","0.03436","0.11478","0.99128","-3.0E-4","0.99854"
"first_Pull=True","reviewer_pull=senny","0.02208","0.07377","0.97427","-5.8E-4","0.99759"
"first_Pull=True","reviewer_pull=carlosantoniodasilva","0.02174","0.07263","1.05813","0.00119","1.00399"
"first_Pull=True","reviewer_pull=tenderlove","0.0185","0.06181","1.13259","0.00217","1.00741"
"first_Pull=True","reviewer_pull=fxn","0.01168","0.03902","1.04721","5.3E-4","1.00153"
"first_Pull=True","reviewer_pull=spastorino","0.01083","0.03617","0.69431","-0.00477","0.98319"
"first_Pull=True","reviewer_pull=steveklabnik","0.00793","0.02649","1.53031","0.00275","1.00913"
"first_Pull=True","reviewer_pull=jeremy","0.00759","0.02535","0.95286","-3.8E-4","0.99842"
"first_Pull=True","reviewer_pull=jonleighton","0.00691","0.02307","1.16124","9.6E-4","1.00299"
"first_Pull=True","reviewer_pull=vijaydev","0.00665","0.02222","1.09936","6.0E-4","1.00176"
"first_Pull=True","reviewer_pull=matthewd","0.00665","0.02222","1.09936","6.0E-4","1.00176"
"first_Pull=True","reviewer_pull=guilleiguaran","0.00648","0.02165","0.71512","-0.00258","0.9909"
"first_Pull=True","reviewer_pull=pixeltrix","0.00622","0.02079","1.18372","9.7E-4","1.003"
"first_Pull=True","reviewer_pull=sgrif","0.00597","0.01994","0.96224","-2.3E-4","0.99891"
"first_Pull=True","reviewer_pull=arunagw","0.00503","0.0168","1.79165","0.00222","1.00726"
"first_Pull=True","reviewer_pull=zzak","0.00495","0.01652","0.79729","-0.00126","0.99544"
"first_Pull=True","reviewer_pull=arthurnn","0.00469","0.01567","1.39182","0.00132","1.00419"
"first_Pull=True","reviewer_pull=chancancode","0.00409","0.01367","1.05485","2.1E-4","1.00043"
"first_Pull=True","reviewer_pull=dhh","0.00375","0.01253","1.37361","0.00102","1.00316"
"first_Pull=True","reviewer_pull=robin850","0.00315","0.01054","1.12358","3.5E-4","1.00088"
"first_Pull=True","reviewer_pull=drogus","0.00273","0.00911","0.82862","-5.6E-4","0.99781"
"first_Pull=True","reviewer_pull=kaspth","0.00273","0.00911","0.77458","-7.9E-4","0.99704"
