"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"requester_pull=tomkadwill","reviewer_pull=zzak","0.00111","0.61905","29.75488","0.00107","2.28479"
"requester_pull=ronakjangir47","reviewer_pull=kaspth","0.00102","0.3","25.49565","9.8E-4","1.36308"
"requester_pull=robertomiranda","reviewer_pull=guilleiguaran","0.0023","0.55102","18.20385","0.00218","2.06595"
"requester_pull=meinac","reviewer_pull=kaspth","0.00102","0.15789","13.41876","9.5E-4","1.15547"
"requester_pull=y-yagi","reviewer_pull=seuros","0.00145","0.13492","12.17192","0.00133","1.13276"
"requester_pull=gsamokovarov","reviewer_pull=guilleiguaran","0.00119","0.35897","11.8593","0.00109","1.4546"
"requester_pull=yui-knk","reviewer_pull=seuros","0.00111","0.12381","11.16952","0.00101","1.11652"
"requester_pull=zuhao","reviewer_pull=senny","0.00298","0.79545","10.51758","0.0027","4.06722"
"requester_pull=chancancode","reviewer_pull=jeremy","0.00102","0.27273","10.25175","9.2E-4","1.29786"
"requester_pull=arthurnn","reviewer_pull=chancancode","0.00111","0.13265","10.23523","0.001","1.12477"
"requester_pull=y-yagi","reviewer_pull=kaspth","0.00111","0.10317","8.76835","9.8E-4","1.09226"
"requester_pull=aditya-kapoor","reviewer_pull=zzak","0.00111","0.17568","8.44395","9.8E-4","1.16872"
"requester_pull=y-yagi","reviewer_pull=zzak","0.00145","0.13492","6.48504","0.00123","1.12162"
"requester_pull=steveklabnik","reviewer_pull=fxn","0.00102","0.22642","6.06255","8.5E-4","1.21478"
"requester_pull=yui-knk","reviewer_pull=zzak","0.00111","0.12381","5.95098","9.2E-4","1.10554"
"requester_pull=spohlenz","reviewer_pull=josevalim","0.00111","0.68421","5.909","9.2E-4","2.4"
"requester_pull=vijaydev","reviewer_pull=spastorino","0.00111","0.30233","5.80307","9.2E-4","1.31483"
"requester_pull=guilleiguaran","reviewer_pull=spastorino","0.00384","0.27778","5.33188","0.00312","1.30136"
"requester_pull=carlosantoniodasilva","reviewer_pull=josevalim","0.00426","0.59524","5.14061","0.00343","2.1221"
"requester_pull=vatrai","reviewer_pull=spastorino","0.00128","0.26786","5.14145","0.00103","1.26387"
"requester_pull=lest","reviewer_pull=josevalim","0.00622","0.55303","4.7761","0.00492","1.94526"
"requester_pull=senny","reviewer_pull=pixeltrix","0.00128","0.08197","4.66656","0.001","1.06382"
"requester_pull=avakhov","reviewer_pull=josevalim","0.00188","0.51163","4.42179","0.00145","1.72839"
"requester_pull=vipulnsward","reviewer_pull=steveklabnik","0.00119","0.07447","4.28118","9.1E-4","1.0556"
"requester_pull=joshk","reviewer_pull=josevalim","0.00179","0.48837","4.21769","0.00137","1.65309"
"requester_pull=bogdan","reviewer_pull=josevalim","0.00409","0.48","4.14539","0.00311","1.66832"
"requester_pull=sgrif","reviewer_pull=matthewd","0.00145","0.08252","4.06657","0.00109","1.06221"
"requester_pull=rafaelfranca","reviewer_pull=tenderlove","0.00145","0.2125","3.89406","0.00108","1.18179"
"requester_pull=oscardelben","reviewer_pull=josevalim","0.00102","0.44444","3.83832","7.6E-4","1.4921"
"requester_pull=nashby","reviewer_pull=josevalim","0.00222","0.43333","3.74237","0.00162","1.51579"
"requester_pull=sikachu","reviewer_pull=tenderlove","0.00196","0.20175","3.69715","0.00143","1.17151"
"requester_pull=kuldeepaggarwal","reviewer_pull=senny","0.00256","0.27027","3.56952","0.00184","1.25116"
"requester_pull=rafaelfranca","reviewer_pull=josevalim","0.00281","0.4125","3.56244","0.00202","1.47368"
"requester_pull=tgxworld","reviewer_pull=senny","0.00205","0.26667","3.52589","0.00147","1.24169"
"requester_pull=wangjohn","reviewer_pull=spastorino","0.00128","0.17857","3.43326","9.1E-4","1.13759"
"requester_pull=vatrai","reviewer_pull=josevalim","0.00179","0.375","3.23859","0.00124","1.37544"
"requester_pull=kennyj","reviewer_pull=jonleighton","0.00119","0.06393","3.21775","8.2E-4","1.04199"
"requester_pull=arunagw","reviewer_pull=vijaydev","0.0023","0.06265","3.08698","0.00156","1.0426"
"requester_pull=dmathieu","reviewer_pull=josevalim","0.00171","0.33898","2.92754","0.00112","1.30421"
"requester_pull=vipulnsward","reviewer_pull=carlosantoniodasilva","0.00315","0.19681","2.87086","0.00206","1.15205"
"requester_pull=pftg","reviewer_pull=senny","0.00102","0.21429","2.83331","6.6E-4","1.15033"
"requester_pull=vijaydev","reviewer_pull=josevalim","0.00119","0.32558","2.8118","7.7E-4","1.26737"
"requester_pull=arunagw","reviewer_pull=spastorino","0.00537","0.14617","2.80573","0.00346","1.10717"
"requester_pull=prathamesh-sonpatki","reviewer_pull=senny","0.00222","0.20312","2.68574","0.00139","1.14873"
