"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"reviewer_follow_requester=true","reviewer_pull=guilleiguaran","0.0084","0.3173","10.4828","0.0076","1.4138"
"reviewer_follow_requester=true","reviewer_pull=rafaelfranca","0.0051","0.1923","0.6587","-0.0027","0.8732"
"reviewer_follow_requester=true","reviewer_pull=josevalim","0.0045","0.1699","1.4671","0.0014","1.0611"
"reviewer_follow_requester=true","reviewer_pull=jeremy","0.0022","0.0833","3.1325","0.0015","1.0582"
"reviewer_follow_requester=true","reviewer_pull=arthurnn","0.0014","0.0545","4.8411","0.0012","1.0422"
"reviewer_follow_requester=true","reviewer_pull=spastorino","0.001","0.0385","0.7383","-4.0E-4","0.9825"
"reviewer_follow_requester=true","reviewer_pull=robin850","0.001","0.0385","4.1007","8.0E-4","1.0268"
"reviewer_follow_requester=false","reviewer_pull=rafaelfranca","0.2868","0.2948","1.0096","0.0027","1.0038"
"reviewer_follow_requester=false","reviewer_pull=josevalim","0.1113","0.1143","0.9875","-0.0014","0.9983"
"reviewer_follow_requester=false","reviewer_pull=senny","0.0748","0.0768","1.0149","0.0011","1.0011"
"reviewer_follow_requester=false","reviewer_pull=carlosantoniodasilva","0.068","0.0698","1.0174","0.0012","1.0012"
"reviewer_follow_requester=false","reviewer_pull=tenderlove","0.0542","0.0557","1.0212","0.0011","1.0011"
"reviewer_follow_requester=false","reviewer_pull=spastorino","0.0511","0.0525","1.0074","4.0E-4","1.0003"
"reviewer_follow_requester=false","reviewer_pull=fxn","0.0371","0.0381","1.0206","7.0E-4","1.0007"
"reviewer_follow_requester=false","reviewer_pull=jeremy","0.0244","0.0251","0.942","-0.0015","0.9983"
"reviewer_follow_requester=false","reviewer_pull=guilleiguaran","0.0218","0.0224","0.741","-0.0076","0.9919"
"reviewer_follow_requester=false","reviewer_pull=zzak","0.0208","0.0214","1.0318","6.0E-4","1.0006"
"reviewer_follow_requester=false","reviewer_pull=sgrif","0.0205","0.0211","1.0191","4.0E-4","1.0003"
"reviewer_follow_requester=false","reviewer_pull=vijaydev","0.0203","0.0209","1.0276","5.0E-4","1.0005"
"reviewer_follow_requester=false","reviewer_pull=matthewd","0.0203","0.0209","1.0276","5.0E-4","1.0005"
"reviewer_follow_requester=false","reviewer_pull=jonleighton","0.02","0.0205","1.0276","5.0E-4","1.0005"
"reviewer_follow_requester=false","reviewer_pull=pixeltrix","0.0176","0.018","1.0276","5.0E-4","1.0004"
"reviewer_follow_requester=false","reviewer_pull=steveklabnik","0.0171","0.0176","1.0125","2.0E-4","1.0001"
"reviewer_follow_requester=false","reviewer_pull=chancancode","0.013","0.0133","1.0276","3.0E-4","1.0003"
"reviewer_follow_requester=false","reviewer_pull=kaspth","0.0117","0.012","1.0202","2.0E-4","1.0002"
"reviewer_follow_requester=false","reviewer_pull=seuros","0.0111","0.0114","1.0356","4.0E-4","1.0003"
"reviewer_follow_requester=false","reviewer_pull=drogus","0.0107","0.011","1.0037","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=arthurnn","0.0098","0.0101","0.8953","-0.0011","0.9987"
"reviewer_follow_requester=false","reviewer_pull=arunagw","0.0095","0.0097","1.0369","3.0E-4","1.0003"
"reviewer_follow_requester=false","reviewer_pull=dhh","0.0091","0.0094","1.0276","2.0E-4","1.0002"
"reviewer_follow_requester=false","reviewer_pull=robin850","0.0084","0.0086","0.9155","-8.0E-4","0.9991"
"reviewer_follow_requester=false","reviewer_pull=schneems","0.0054","0.0055","1.0442","2.0E-4","1.0001"
"reviewer_follow_requester=false","reviewer_pull=eileencodes","0.0037","0.0038","1.0521","2.0E-4","1.0001"
"reviewer_follow_requester=false","reviewer_pull=claudiob","0.003","0.0031","1.0276","1.0E-4","1.0"
"reviewer_follow_requester=false","reviewer_pull=NZKoz","0.0024","0.0025","1.0276","1.0E-4","1.0"
"reviewer_follow_requester=false","reviewer_pull=laurocaetano","0.0023","0.0024","1.0276","1.0E-4","1.0"
"reviewer_follow_requester=false","reviewer_pull=wycats","0.0017","0.0018","1.0276","0.0","1.0"
"reviewer_follow_requester=false","reviewer_pull=dmathieu","0.0013","0.0013","1.0276","0.0","0.9999"
"reviewer_follow_requester=false","reviewer_pull=sikachu","0.0012","0.0012","1.0276","0.0","0.9999"
